BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,0,0.000091
letters,left,letter,E,4,0,1,2.230566
letters,right,letter,T,6,0,1,1.938630
letters,left,letter,G,3,0,0,1.994030
letters,right,letter,R,1,0,1,0.000117
letters,left,letter,T,2,0,1,1.685830
letters,right,letter,E,1,0,1,1.252335
letters,left,letter,R,1,0,1,1.570434
letters,right,letter,U,4,0,1,0.745207
letters,left,letter,E,8,0,1,0.752102
letters,right,letter,U,5,0,1,0.836957
letters,left,letter,E,2,0,1,0.624302
letters,right,letter,C,5,0,1,0.692992
letters,left,letter,E,7,0,1,0.696834
letters,right,letter,U,3,0,1,0.901492
letters,left,letter,R,5,0,1,0.843666
letters,right,letter,A,7,0,1,0.738077
letters,left,letter,G,2,0,0,0.860099
letters,right,letter,C,8,0,1,0.000116
letters,left,letter,T,6,0,1,0.983784
letters,right,letter,R,4,0,1,0.855633
letters,left,letter,G,6,0,1,0.671064
letters,right,letter,C,3,0,1,1.226958
letters,left,letter,R,2,0,1,0.633144
letters,right,letter,I,2,0,1,0.643839
letters,left,letter,I,7,0,1,0.604327
letters,right,letter,C,3,0,1,0.615535
letters,left,letter,G,6,0,1,1.044375
letters,right,letter,T,8,0,1,0.678623
letters,left,letter,T,5,0,1,0.555412
letters,right,letter,I,1,0,1,0.616477
letters,left,letter,A,4,0,1,0.914051
letters,right,letter,G,8,0,1,0.690850
letters,left,letter,I,6,0,1,0.645148
letters,right,letter,A,3,0,1,0.655476
letters,left,letter,A,4,0,1,0.627256
letters,right,letter,C,8,0,1,0.677528
letters,left,letter,U,7,0,1,0.635602
letters,right,letter,A,5,0,1,0.591593
letters,left,letter,I,7,0,1,0.531341
numbers,right,number,C,6,1,1,1.384510
numbers,left,number,R,3,0,1,1.549742
numbers,right,number,T,1,0,1,0.966503
numbers,left,number,T,2,0,1,0.786064
numbers,right,number,T,5,0,1,1.405847
numbers,left,number,A,6,0,1,0.629065
numbers,right,number,E,1,0,1,0.828561
numbers,left,number,C,5,0,1,0.769440
numbers,right,number,I,2,0,1,0.734900
numbers,left,number,G,3,0,1,1.170836
numbers,right,number,R,5,0,1,0.849652
numbers,left,number,A,8,0,1,0.630202
numbers,right,number,G,1,0,1,0.738576
numbers,left,number,T,4,0,1,0.809448
numbers,right,number,U,4,0,1,0.563201
numbers,left,number,U,4,0,1,0.445737
numbers,right,number,U,1,0,1,0.515025
numbers,left,number,E,6,0,1,0.608284
numbers,right,number,A,5,0,1,0.521582
numbers,left,number,E,4,0,1,0.577620
numbers,right,number,C,8,0,1,0.766683
numbers,left,number,I,3,0,1,0.712885
numbers,right,number,U,7,0,0,0.485014
numbers,left,number,A,8,0,1,1.639529
numbers,right,number,E,2,0,1,1.171925
numbers,left,number,I,6,0,1,0.616068
numbers,right,number,C,2,0,1,1.028454
numbers,left,number,C,8,0,1,0.938899
numbers,right,number,U,7,0,0,0.728994
numbers,left,number,I,6,0,1,0.805825
numbers,right,number,G,7,0,1,1.142654
numbers,left,number,R,1,0,1,0.652170
numbers,right,number,E,3,0,1,0.613022
numbers,left,number,A,7,0,1,0.629825
numbers,right,number,T,3,0,1,0.596759
numbers,left,number,I,4,0,1,0.810128
numbers,right,number,G,5,0,1,0.745547
numbers,left,number,G,2,0,1,0.961783
numbers,right,number,R,8,0,1,0.739035
numbers,left,number,R,7,0,1,0.687674
lettersnumbers,left,letter,R,7,1,1,2.007319
lettersnumbers,right,letter,T,1,0,1,1.716596
lettersnumbers,right,number,T,3,1,0,2.100686
lettersnumbers,left,number,G,2,0,0,0.016396
lettersnumbers,left,letter,C,2,1,0,0.000102
lettersnumbers,right,letter,I,4,0,0,0.000116
lettersnumbers,right,number,U,5,1,0,0.000107
lettersnumbers,left,number,A,1,0,0,0.000116
lettersnumbers,left,letter,T,6,1,1,0.000093
lettersnumbers,right,letter,C,5,0,1,2.249803
lettersnumbers,right,number,R,8,1,1,1.278843
lettersnumbers,left,number,A,3,0,1,1.706231
lettersnumbers,left,letter,G,6,1,1,1.871595
lettersnumbers,right,letter,T,6,0,1,1.113626
lettersnumbers,right,number,R,4,1,1,1.130873
lettersnumbers,left,number,U,4,0,1,0.788550
lettersnumbers,left,letter,U,1,1,0,2.093871
lettersnumbers,right,letter,U,4,0,1,0.055286
lettersnumbers,right,number,T,7,1,1,7.874718
lettersnumbers,left,number,A,2,0,1,0.857971
lettersnumbers,left,letter,I,5,1,0,2.291773
lettersnumbers,right,letter,R,2,0,0,0.000117
lettersnumbers,right,number,I,7,1,1,3.100374
lettersnumbers,left,number,G,3,0,1,0.926098
lettersnumbers,left,letter,U,7,1,1,3.628920
lettersnumbers,right,letter,E,3,0,1,0.961258
lettersnumbers,right,number,E,8,1,1,1.255506
lettersnumbers,left,number,G,5,0,1,0.841844
lettersnumbers,left,letter,I,4,1,1,2.499060
lettersnumbers,right,letter,E,8,0,1,1.840321
lettersnumbers,right,number,C,6,1,0,1.825866
lettersnumbers,left,number,I,3,0,0,0.000127
lettersnumbers,left,letter,A,8,1,0,0.000090
lettersnumbers,right,letter,C,5,0,0,0.041112
lettersnumbers,right,number,C,7,1,1,0.000104
lettersnumbers,left,number,R,1,0,1,3.367222
lettersnumbers,left,letter,A,8,1,1,2.125150
lettersnumbers,right,letter,G,1,0,1,0.995908
lettersnumbers,right,number,E,6,1,1,1.419850
lettersnumbers,left,number,E,2,0,1,1.050254
