"PartID","GroupNum","prosoc","Game","Age","Gender","invefi","difference","diff_norm"
1,1,4.125,3,23,"F",2.01331664359862,0.261768003508772,0.140917218461256
2,1,3.875,3,28,"M",2.61594343195266,0.570847918421052,0.200770391611193
3,1,3.5,3,21,"F",1.82478941828255,1.46333091111111,0.584461724283875
4,1,3.25,3,52,"M",4.54414914127424,-0.983386397727273,-0.618815986915752
