BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,2.219034
letters,left,letter,E,4,0,1,2.219608
letters,right,letter,T,6,0,1,1.149474
letters,left,letter,G,3,0,1,0.998665
letters,right,letter,R,1,0,1,0.773843
letters,left,letter,T,2,0,1,0.703274
letters,right,letter,E,1,0,1,0.738462
letters,left,letter,R,1,0,1,0.535141
letters,right,letter,U,4,0,1,0.604870
letters,left,letter,E,8,0,1,0.683655
letters,right,letter,U,5,0,1,0.654560
letters,left,letter,E,2,0,1,0.545955
letters,right,letter,C,5,0,1,0.780763
letters,left,letter,E,7,0,1,0.598622
letters,right,letter,U,3,0,1,0.571078
letters,left,letter,R,5,0,1,0.576448
letters,right,letter,A,7,0,1,0.838906
letters,left,letter,G,2,0,1,0.515239
letters,right,letter,C,8,0,1,0.650703
letters,left,letter,T,6,0,1,0.602283
letters,right,letter,R,4,0,1,0.927631
letters,left,letter,G,6,0,1,0.555615
letters,right,letter,C,3,0,1,0.597392
letters,left,letter,R,2,0,1,0.679148
letters,right,letter,I,2,0,1,0.712171
letters,left,letter,I,7,0,1,1.190680
letters,right,letter,C,3,0,1,0.563407
letters,left,letter,G,6,0,1,0.496314
letters,right,letter,T,8,0,1,0.467073
letters,left,letter,T,5,0,1,0.459704
letters,right,letter,I,1,0,1,0.534192
letters,left,letter,A,4,0,1,0.684893
letters,right,letter,G,8,0,1,0.503256
letters,left,letter,I,6,0,1,0.484185
letters,right,letter,A,3,0,1,0.490837
letters,left,letter,A,4,0,1,0.467511
letters,right,letter,C,8,0,1,0.479658
letters,left,letter,U,7,0,1,0.507220
letters,right,letter,A,5,0,1,0.541792
letters,left,letter,I,7,0,0,0.451076
numbers,right,number,C,6,1,1,1.671140
numbers,left,number,R,3,0,1,1.144578
numbers,right,number,T,1,0,1,0.831524
numbers,left,number,T,2,0,1,0.679179
numbers,right,number,T,5,0,1,0.581666
numbers,left,number,A,6,0,1,0.517341
numbers,right,number,E,1,0,0,0.774599
numbers,left,number,C,5,0,1,0.000088
numbers,right,number,I,2,0,1,1.553518
numbers,left,number,G,3,0,1,0.851753
numbers,right,number,R,5,0,1,0.582396
numbers,left,number,A,8,0,1,0.630992
numbers,right,number,G,1,0,1,0.704104
numbers,left,number,T,4,0,1,0.620659
numbers,right,number,U,4,0,1,0.634834
numbers,left,number,U,4,0,1,0.585151
numbers,right,number,U,1,0,1,0.583001
numbers,left,number,E,6,0,1,0.651853
numbers,right,number,A,5,0,1,0.552459
numbers,left,number,E,4,0,0,0.628487
numbers,right,number,C,8,0,1,0.000091
numbers,left,number,I,3,0,1,1.584185
numbers,right,number,U,7,0,1,0.686218
numbers,left,number,A,8,0,1,0.593240
numbers,right,number,E,2,0,0,0.523858
numbers,left,number,I,6,0,1,0.000101
numbers,right,number,C,2,0,1,1.186996
numbers,left,number,C,8,0,1,0.578589
numbers,right,number,U,7,0,1,0.585184
numbers,left,number,I,6,0,1,0.584024
numbers,right,number,G,7,0,1,0.654873
numbers,left,number,R,1,0,1,0.687188
numbers,right,number,E,3,0,1,0.606899
numbers,left,number,A,7,0,1,0.630491
numbers,right,number,T,3,0,1,0.587185
numbers,left,number,I,4,0,1,0.584639
numbers,right,number,G,5,0,1,0.604227
numbers,left,number,G,2,0,1,0.556238
numbers,right,number,R,8,0,1,0.761235
numbers,left,number,R,7,0,1,0.594603
lettersnumbers,left,letter,R,7,1,1,3.113027
lettersnumbers,right,letter,T,1,0,1,1.224307
lettersnumbers,right,number,T,3,1,1,1.837393
lettersnumbers,left,number,G,2,0,1,1.031313
lettersnumbers,left,letter,C,2,1,1,1.789014
lettersnumbers,right,letter,I,4,0,1,2.016928
lettersnumbers,right,number,U,5,1,1,1.344443
lettersnumbers,left,number,A,1,0,1,1.073788
lettersnumbers,left,letter,T,6,1,1,1.649953
lettersnumbers,right,letter,C,5,0,1,0.721324
lettersnumbers,right,number,R,8,1,1,0.902825
lettersnumbers,left,number,A,3,0,1,0.769414
lettersnumbers,left,letter,G,6,1,1,3.007324
lettersnumbers,right,letter,T,6,0,1,0.709070
lettersnumbers,right,number,R,4,1,1,1.010295
lettersnumbers,left,number,U,4,0,1,0.748203
lettersnumbers,left,letter,U,1,1,1,1.575083
lettersnumbers,right,letter,U,4,0,1,0.676444
lettersnumbers,right,number,T,7,1,1,1.121142
lettersnumbers,left,number,A,2,0,1,0.619241
lettersnumbers,left,letter,I,5,1,1,1.230569
lettersnumbers,right,letter,R,2,0,1,0.731710
lettersnumbers,right,number,I,7,1,1,1.830356
lettersnumbers,left,number,G,3,0,1,0.672445
lettersnumbers,left,letter,U,7,1,1,1.545219
lettersnumbers,right,letter,E,3,0,1,0.636482
lettersnumbers,right,number,E,8,1,0,0.829742
lettersnumbers,left,number,G,5,0,0,0.000114
lettersnumbers,left,letter,I,4,1,0,0.000115
lettersnumbers,right,letter,E,8,0,1,0.000085
lettersnumbers,right,number,C,6,1,1,2.843065
lettersnumbers,left,number,I,3,0,1,1.463426
lettersnumbers,left,letter,A,8,1,1,1.210754
lettersnumbers,right,letter,C,5,0,1,0.697662
lettersnumbers,right,number,C,7,1,1,1.318378
lettersnumbers,left,number,R,1,0,1,0.774563
lettersnumbers,left,letter,A,8,1,1,1.241706
lettersnumbers,right,letter,G,1,0,1,0.675048
lettersnumbers,right,number,E,6,1,1,1.477158
lettersnumbers,left,number,E,2,0,1,0.728089
