BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,2.092470
letters,left,letter,E,4,0,1,1.742192
letters,right,letter,T,6,0,1,1.192453
letters,left,letter,G,3,0,1,0.758773
letters,right,letter,R,1,0,1,0.747758
letters,left,letter,T,2,0,1,0.465611
letters,right,letter,E,1,0,0,0.522759
letters,left,letter,R,1,0,1,0.927344
letters,right,letter,U,4,0,1,0.547330
letters,left,letter,E,8,0,1,0.599779
letters,right,letter,U,5,0,1,0.480315
letters,left,letter,E,2,0,0,0.496387
letters,right,letter,C,5,0,1,0.836771
letters,left,letter,E,7,0,1,0.579960
letters,right,letter,U,3,0,1,0.477061
letters,left,letter,R,5,0,1,0.575640
letters,right,letter,A,7,0,1,0.634783
letters,left,letter,G,2,0,1,0.453079
letters,right,letter,C,8,0,1,0.664012
letters,left,letter,T,6,0,1,0.427610
letters,right,letter,R,4,0,1,0.516363
letters,left,letter,G,6,0,1,0.531144
letters,right,letter,C,3,0,1,0.521605
letters,left,letter,R,2,0,1,0.435122
letters,right,letter,I,2,0,0,0.554646
letters,left,letter,I,7,0,1,0.709126
letters,right,letter,C,3,0,1,0.635261
letters,left,letter,G,6,0,1,0.563770
letters,right,letter,T,8,0,1,0.631491
letters,left,letter,T,5,0,1,0.386565
letters,right,letter,I,1,0,1,0.546027
letters,left,letter,A,4,0,1,0.627124
letters,right,letter,G,8,0,1,0.779320
letters,left,letter,I,6,0,1,0.749117
letters,right,letter,A,3,0,1,0.671355
letters,left,letter,A,4,0,1,0.445163
letters,right,letter,C,8,0,1,0.505977
letters,left,letter,U,7,0,1,0.565290
letters,right,letter,A,5,0,1,0.589318
letters,left,letter,I,7,0,1,0.567560
numbers,right,number,C,6,1,1,2.119847
numbers,left,number,R,3,0,1,0.734820
numbers,right,number,T,1,0,0,0.617151
numbers,left,number,T,2,0,0,0.000091
numbers,right,number,T,5,0,0,0.000120
numbers,left,number,A,6,0,0,0.000121
numbers,right,number,E,1,0,0,0.000105
numbers,left,number,C,5,0,1,0.000117
numbers,right,number,I,2,0,1,0.737955
numbers,left,number,G,3,0,1,0.736690
numbers,right,number,R,5,0,0,0.564050
numbers,left,number,A,8,0,1,0.627292
numbers,right,number,G,1,0,1,0.655240
numbers,left,number,T,4,0,1,0.762405
numbers,right,number,U,4,0,1,0.527925
numbers,left,number,U,4,0,1,0.544515
numbers,right,number,U,1,0,1,0.639237
numbers,left,number,E,6,0,0,1.043735
numbers,right,number,A,5,0,1,0.850300
numbers,left,number,E,4,0,1,0.634674
numbers,right,number,C,8,0,1,0.602044
numbers,left,number,I,3,0,1,0.593683
numbers,right,number,U,7,0,0,0.595012
numbers,left,number,A,8,0,1,0.655247
numbers,right,number,E,2,0,1,0.667474
numbers,left,number,I,6,0,1,0.551259
numbers,right,number,C,2,0,1,0.441267
numbers,left,number,C,8,0,1,0.459912
numbers,right,number,U,7,0,1,0.578879
numbers,left,number,I,6,0,1,0.576521
numbers,right,number,G,7,0,1,0.585776
numbers,left,number,R,1,0,1,0.576307
numbers,right,number,E,3,0,1,0.463580
numbers,left,number,A,7,0,1,0.404357
numbers,right,number,T,3,0,1,0.385501
numbers,left,number,I,4,0,0,0.460395
numbers,right,number,G,5,0,0,0.189544
numbers,left,number,G,2,0,0,0.000093
numbers,right,number,R,8,0,1,0.000106
numbers,left,number,R,7,0,1,0.561900
lettersnumbers,left,letter,R,7,1,1,1.491291
lettersnumbers,right,letter,T,1,0,1,0.837675
lettersnumbers,right,number,T,3,1,1,1.143332
lettersnumbers,left,number,G,2,0,1,0.778406
lettersnumbers,left,letter,C,2,1,1,1.785649
lettersnumbers,right,letter,I,4,0,1,2.132494
lettersnumbers,right,number,U,5,1,1,2.213037
lettersnumbers,left,number,A,1,0,1,0.842845
lettersnumbers,left,letter,T,6,1,1,1.010533
lettersnumbers,right,letter,C,5,0,1,1.479180
lettersnumbers,right,number,R,8,1,1,0.819815
lettersnumbers,left,number,A,3,0,1,0.940866
lettersnumbers,left,letter,G,6,1,1,1.049100
lettersnumbers,right,letter,T,6,0,1,1.036039
lettersnumbers,right,number,R,4,1,1,1.065935
lettersnumbers,left,number,U,4,0,1,0.671026
lettersnumbers,left,letter,U,1,1,1,1.012571
lettersnumbers,right,letter,U,4,0,1,1.012991
lettersnumbers,right,number,T,7,1,1,0.833351
lettersnumbers,left,number,A,2,0,1,1.078276
lettersnumbers,left,letter,I,5,1,1,2.201412
lettersnumbers,right,letter,R,2,0,1,0.797702
lettersnumbers,right,number,I,7,1,1,1.208941
lettersnumbers,left,number,G,3,0,1,0.747726
lettersnumbers,left,letter,U,7,1,1,1.229182
lettersnumbers,right,letter,E,3,0,1,0.762028
lettersnumbers,right,number,E,8,1,1,0.974383
lettersnumbers,left,number,G,5,0,1,0.672981
lettersnumbers,left,letter,I,4,1,1,1.755611
lettersnumbers,right,letter,E,8,0,1,0.778311
lettersnumbers,right,number,C,6,1,1,1.071605
lettersnumbers,left,number,I,3,0,1,0.731001
lettersnumbers,left,letter,A,8,1,1,1.275888
lettersnumbers,right,letter,C,5,0,1,0.796455
lettersnumbers,right,number,C,7,1,1,1.024117
lettersnumbers,left,number,R,1,0,1,0.685047
lettersnumbers,left,letter,A,8,1,1,1.148197
lettersnumbers,right,letter,G,1,0,1,1.103864
lettersnumbers,right,number,E,6,1,1,0.830617
lettersnumbers,left,number,E,2,0,1,0.659006
