BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,3.884949
letters,left,letter,E,4,0,1,2.944349
letters,right,letter,T,6,0,1,1.033022
letters,left,letter,G,3,0,1,1.233751
letters,right,letter,R,1,0,1,1.310611
letters,left,letter,T,2,0,1,0.816683
letters,right,letter,E,1,0,1,0.746725
letters,left,letter,R,1,0,1,0.758756
letters,right,letter,U,4,0,1,1.850706
letters,left,letter,E,8,0,1,0.906870
letters,right,letter,U,5,0,1,0.775715
letters,left,letter,E,2,0,1,0.649244
letters,right,letter,C,5,0,1,1.192578
letters,left,letter,E,7,0,1,0.823686
letters,right,letter,U,3,0,1,2.111661
letters,left,letter,R,5,0,1,0.902831
letters,right,letter,A,7,0,1,1.061335
letters,left,letter,G,2,0,1,0.801256
letters,right,letter,C,8,0,1,1.319127
letters,left,letter,T,6,0,1,1.252330
letters,right,letter,R,4,0,1,0.824223
letters,left,letter,G,6,0,1,0.928529
letters,right,letter,C,3,0,1,0.841308
letters,left,letter,R,2,0,1,0.807923
letters,right,letter,I,2,0,1,0.805729
letters,left,letter,I,7,0,1,0.740629
letters,right,letter,C,3,0,1,0.749126
letters,left,letter,G,6,0,1,1.533927
letters,right,letter,T,8,0,1,1.089593
letters,left,letter,T,5,0,1,0.678695
letters,right,letter,I,1,0,1,1.095319
letters,left,letter,A,4,0,1,0.840977
letters,right,letter,G,8,0,1,0.723470
letters,left,letter,I,6,0,1,0.923482
letters,right,letter,A,3,0,1,0.773439
letters,left,letter,A,4,0,1,0.697743
letters,right,letter,C,8,0,1,0.704359
letters,left,letter,U,7,0,1,0.777921
letters,right,letter,A,5,0,1,0.690408
letters,left,letter,I,7,0,1,0.651598
numbers,right,number,C,6,1,0,3.145872
numbers,left,number,R,3,0,1,3.508139
numbers,right,number,T,1,0,1,0.979375
numbers,left,number,T,2,0,1,0.822987
numbers,right,number,T,5,0,1,1.282991
numbers,left,number,A,6,0,1,0.883009
numbers,right,number,E,1,0,1,1.008042
numbers,left,number,C,5,0,1,1.421824
numbers,right,number,I,2,0,1,0.700691
numbers,left,number,G,3,0,1,0.794248
numbers,right,number,R,5,0,1,0.980318
numbers,left,number,A,8,0,1,1.104920
numbers,right,number,G,1,0,1,0.809222
numbers,left,number,T,4,0,1,0.817052
numbers,right,number,U,4,0,1,1.212339
numbers,left,number,U,4,0,1,0.640384
numbers,right,number,U,1,0,1,0.739631
numbers,left,number,E,6,0,1,1.843495
numbers,right,number,A,5,0,1,0.716209
numbers,left,number,E,4,0,1,1.178558
numbers,right,number,C,8,0,1,1.300909
numbers,left,number,I,3,0,1,1.107690
numbers,right,number,U,7,0,1,1.129035
numbers,left,number,A,8,0,1,0.859848
numbers,right,number,E,2,0,1,0.890393
numbers,left,number,I,6,0,1,0.832752
numbers,right,number,C,2,0,1,1.139702
numbers,left,number,C,8,0,1,0.872768
numbers,right,number,U,7,0,1,0.678484
numbers,left,number,I,6,0,1,0.660762
numbers,right,number,G,7,0,1,1.330474
numbers,left,number,R,1,0,1,0.875047
numbers,right,number,E,3,0,1,0.758100
numbers,left,number,A,7,0,1,0.909550
numbers,right,number,T,3,0,1,0.935925
numbers,left,number,I,4,0,1,0.677833
numbers,right,number,G,5,0,1,0.757669
numbers,left,number,G,2,0,1,0.703074
numbers,right,number,R,8,0,0,0.889745
numbers,left,number,R,7,0,0,0.000093
lettersnumbers,left,letter,R,7,1,1,0.000119
lettersnumbers,right,letter,T,1,0,1,3.828711
lettersnumbers,right,number,T,3,1,1,2.338186
lettersnumbers,left,number,G,2,0,1,1.687057
lettersnumbers,left,letter,C,2,1,1,2.238724
lettersnumbers,right,letter,I,4,0,1,11.375637
lettersnumbers,right,number,U,5,1,1,2.113083
lettersnumbers,left,number,A,1,0,1,1.835355
lettersnumbers,left,letter,T,6,1,1,1.515918
lettersnumbers,right,letter,C,5,0,1,0.946591
lettersnumbers,right,number,R,8,1,1,1.619647
lettersnumbers,left,number,A,3,0,1,1.831196
lettersnumbers,left,letter,G,6,1,1,1.277722
lettersnumbers,right,letter,T,6,0,1,1.191168
lettersnumbers,right,number,R,4,1,1,1.567398
lettersnumbers,left,number,U,4,0,1,5.727016
lettersnumbers,left,letter,U,1,1,1,2.089528
lettersnumbers,right,letter,U,4,0,1,0.701635
lettersnumbers,right,number,T,7,1,1,1.266421
lettersnumbers,left,number,A,2,0,1,0.865804
lettersnumbers,left,letter,I,5,1,0,1.563520
lettersnumbers,right,letter,R,2,0,0,0.000107
lettersnumbers,right,number,I,7,1,1,0.000093
lettersnumbers,left,number,G,3,0,1,1.416393
lettersnumbers,left,letter,U,7,1,1,2.442493
lettersnumbers,right,letter,E,3,0,1,0.845739
lettersnumbers,right,number,E,8,1,1,1.435686
lettersnumbers,left,number,G,5,0,1,1.549755
lettersnumbers,left,letter,I,4,1,1,1.411421
lettersnumbers,right,letter,E,8,0,1,0.841282
lettersnumbers,right,number,C,6,1,1,1.494350
lettersnumbers,left,number,I,3,0,1,12.321360
lettersnumbers,left,letter,A,8,1,1,2.817344
lettersnumbers,right,letter,C,5,0,1,1.406716
lettersnumbers,right,number,C,7,1,1,1.094456
lettersnumbers,left,number,R,1,0,1,0.780839
lettersnumbers,left,letter,A,8,1,1,1.936991
lettersnumbers,right,letter,G,1,0,1,1.321504
lettersnumbers,right,number,E,6,1,1,2.494732
lettersnumbers,left,number,E,2,0,1,1.170892
