GroupNum;GroupType;TypeTest;PartID;Partner;Round;Shape;KeyPressed;PositionItem;ChosenItem;ACC;Word;ID_CG;index;pair;distance
1;HT;block1_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;1;NA;NA
1;HT;block1_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;2;NA;NA
1;HT;block1_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;3;NA;NA
1;HT;block1_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;4;NA;NA
1;HT;block1_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;5;NA;NA
1;HT;block1_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;6;NA;NA
1;HT;block1_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;7;NA;NA
1;HT;block1_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;8;NA;NA
1;HT;testing_set;1;NA;0;2;NA;NA;NA;1;nesip;0;9;NA;0
1;HT;testing_set;1;NA;0;7;NA;NA;NA;0;eui;0;10;NA;1
1;HT;testing_set;1;NA;0;5;NA;NA;NA;0;pn;0;11;NA;1
1;HT;testing_set;1;NA;0;3;NA;NA;NA;0;neup;0;12;NA;0.75
1;HT;testing_set;1;NA;0;6;NA;NA;NA;0;seun;0;13;NA;1
1;HT;testing_set;1;NA;0;1;NA;NA;NA;0;pesi;0;14;NA;1
1;HT;testing_set;1;NA;0;0;NA;NA;NA;0;sue;0;15;NA;0.75
1;HT;testing_set;1;NA;0;4;NA;NA;NA;1;puei;0;16;NA;0
1;HT;final_testing;1;NA;0;5;NA;NA;NA;NA;pun;0;161;NA;0.75
1;HT;final_testing;1;NA;0;6;NA;NA;NA;NA;ui;0;162;NA;1
1;HT;final_testing;1;NA;0;3;NA;NA;NA;NA;nunu;0;163;NA;1
1;HT;final_testing;1;NA;0;0;NA;NA;NA;NA;nus;0;164;NA;0
1;HT;final_testing;1;NA;0;1;NA;NA;NA;NA;ii;0;165;NA;1
1;HT;final_testing;1;NA;0;2;NA;NA;NA;NA;esip;0;166;NA;0
1;HT;final_testing;1;NA;0;7;NA;NA;NA;NA;i;0;167;NA;0.5
1;HT;final_testing;1;NA;0;4;NA;NA;NA;NA;uni;0;168;NA;1
1;HT;block1_passive_exp;2;NA;0;5;NA;NA;NA;NA;nekuki;0;1;NA;NA
1;HT;block1_passive_exp;2;NA;0;3;NA;NA;NA;NA;esip;0;2;NA;NA
1;HT;block1_passive_exp;2;NA;0;4;NA;NA;NA;NA;puak;0;3;NA;NA
1;HT;block1_passive_exp;2;NA;0;1;NA;NA;NA;NA;nus;0;4;NA;NA
1;HT;block1_passive_exp;2;NA;0;2;NA;NA;NA;NA;kesip;0;5;NA;NA
1;HT;block1_passive_exp;2;NA;0;6;NA;NA;NA;NA;anap;0;6;NA;NA
1;HT;block1_passive_exp;2;NA;0;7;NA;NA;NA;NA;aike;0;7;NA;NA
1;HT;block1_passive_exp;2;NA;0;0;NA;NA;NA;NA;nusa;0;8;NA;NA
1;HT;testing_set;2;NA;0;6;NA;NA;NA;1;anap;0;9;NA;NA
1;HT;testing_set;2;NA;0;3;NA;NA;NA;0;puak;0;10;NA;NA
1;HT;testing_set;2;NA;0;0;NA;NA;NA;1;nusa;0;11;NA;NA
1;HT;testing_set;2;NA;0;7;NA;NA;NA;1;aike;0;12;NA;NA
1;HT;testing_set;2;NA;0;2;NA;NA;NA;0;esip;0;13;NA;NA
1;HT;testing_set;2;NA;0;5;NA;NA;NA;0;kepia;0;14;NA;NA
1;HT;testing_set;2;NA;0;1;NA;NA;NA;0;niknik;0;15;NA;NA
1;HT;testing_set;2;NA;0;4;NA;NA;NA;0;sapiu;0;16;NA;NA
1;HT;final_testing;2;NA;0;4;NA;NA;NA;NA;puis;0;161;NA;NA
1;HT;final_testing;2;NA;0;1;NA;NA;NA;NA;kai;0;162;NA;NA
1;HT;final_testing;2;NA;0;5;NA;NA;NA;NA;punpun;0;163;NA;NA
1;HT;final_testing;2;NA;0;3;NA;NA;NA;NA;en;0;164;NA;NA
1;HT;final_testing;2;NA;0;7;NA;NA;NA;NA;aike;0;165;NA;NA
1;HT;final_testing;2;NA;0;0;NA;NA;NA;NA;nusa;0;166;NA;NA
1;HT;final_testing;2;NA;0;2;NA;NA;NA;NA;niknik;0;167;NA;NA
1;HT;final_testing;2;NA;0;6;NA;NA;NA;NA;anap;0;168;NA;NA
1;HT;block1_passive_exp;3;NA;0;0;NA;NA;NA;NA;nusa;0;1;NA;NA
1;HT;block1_passive_exp;3;NA;0;5;NA;NA;NA;NA;nekuki;0;2;NA;NA
1;HT;block1_passive_exp;3;NA;0;7;NA;NA;NA;NA;aike;0;3;NA;NA
1;HT;block1_passive_exp;3;NA;0;2;NA;NA;NA;NA;kesip;0;4;NA;NA
1;HT;block1_passive_exp;3;NA;0;1;NA;NA;NA;NA;nus;0;5;NA;NA
1;HT;block1_passive_exp;3;NA;0;6;NA;NA;NA;NA;anap;0;6;NA;NA
1;HT;block1_passive_exp;3;NA;0;4;NA;NA;NA;NA;puak;0;7;NA;NA
1;HT;block1_passive_exp;3;NA;0;3;NA;NA;NA;NA;esip;0;8;NA;NA
1;HT;testing_set;3;NA;0;7;NA;NA;NA;0;nua;0;9;NA;NA
1;HT;testing_set;3;NA;0;3;NA;NA;NA;0;nesi;0;10;NA;NA
1;HT;testing_set;3;NA;0;5;NA;NA;NA;0;nupa;0;11;NA;NA
1;HT;testing_set;3;NA;0;1;NA;NA;NA;0;nusa;0;12;NA;NA
1;HT;testing_set;3;NA;0;6;NA;NA;NA;0;kuka;0;13;NA;NA
1;HT;testing_set;3;NA;0;2;NA;NA;NA;0;keku;0;14;NA;NA
1;HT;testing_set;3;NA;0;0;NA;NA;NA;1;nusa;0;15;NA;NA
1;HT;testing_set;3;NA;0;4;NA;NA;NA;0;nupi;0;16;NA;NA
1;HT;final_testing;3;NA;0;7;NA;NA;NA;NA;ep;0;161;NA;NA
1;HT;final_testing;3;NA;0;5;NA;NA;NA;NA;kass;0;162;NA;NA
1;HT;final_testing;3;NA;0;3;NA;NA;NA;NA;kass;0;163;NA;NA
1;HT;final_testing;3;NA;0;6;NA;NA;NA;NA;nuka;0;164;NA;NA
1;HT;final_testing;3;NA;0;0;NA;NA;NA;NA;nusa;0;165;NA;NA
1;HT;final_testing;3;NA;0;2;NA;NA;NA;NA;niknik;0;166;NA;NA
1;HT;final_testing;3;NA;0;1;NA;NA;NA;NA;puni;0;167;NA;NA
1;HT;final_testing;3;NA;0;4;NA;NA;NA;NA;uni;0;168;NA;NA
1;HT;block1_passive_exp;4;NA;0;1;NA;NA;NA;NA;nus;0;1;NA;NA
1;HT;block1_passive_exp;4;NA;0;6;NA;NA;NA;NA;anap;0;2;NA;NA
1;HT;block1_passive_exp;4;NA;0;5;NA;NA;NA;NA;nekuki;0;3;NA;NA
