BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,1.159500
letters,left,letter,E,4,0,1,3.700784
letters,right,letter,T,6,0,1,1.469011
letters,left,letter,G,3,0,1,0.808637
letters,right,letter,R,1,0,1,0.978772
letters,left,letter,T,2,0,1,0.787801
letters,right,letter,E,1,0,1,0.690347
letters,left,letter,R,1,0,1,0.710676
letters,right,letter,U,4,0,1,0.563184
letters,left,letter,E,8,0,1,0.732632
letters,right,letter,U,5,0,1,0.540838
letters,left,letter,E,2,0,1,0.742280
letters,right,letter,C,5,0,1,2.720876
letters,left,letter,E,7,0,1,0.619998
letters,right,letter,U,3,0,1,0.767582
letters,left,letter,R,5,0,1,0.641980
letters,right,letter,A,7,0,1,0.495675
letters,left,letter,G,2,0,1,0.635467
letters,right,letter,C,8,0,1,0.748560
letters,left,letter,T,6,0,1,0.517473
letters,right,letter,R,4,0,1,0.573249
letters,left,letter,G,6,0,1,0.436827
letters,right,letter,C,3,0,1,0.565677
letters,left,letter,R,2,0,1,0.459031
letters,right,letter,I,2,0,1,0.970428
letters,left,letter,I,7,0,1,0.585521
letters,right,letter,C,3,0,1,2.252014
letters,left,letter,G,6,0,1,0.503282
letters,right,letter,T,8,0,1,0.493100
letters,left,letter,T,5,0,1,0.531905
letters,right,letter,I,1,0,1,0.925985
letters,left,letter,A,4,0,0,0.684577
letters,right,letter,G,8,0,1,2.654758
letters,left,letter,I,6,0,1,0.850552
letters,right,letter,A,3,0,1,0.896571
letters,left,letter,A,4,0,1,1.281668
letters,right,letter,C,8,0,1,1.090064
letters,left,letter,U,7,0,1,0.987674
letters,right,letter,A,5,0,1,0.634881
letters,left,letter,I,7,0,1,0.410162
numbers,right,number,C,6,1,1,1.781625
numbers,left,number,R,3,0,1,1.015852
numbers,right,number,T,1,0,1,0.872427
numbers,left,number,T,2,0,1,0.852327
numbers,right,number,T,5,0,1,0.930109
numbers,left,number,A,6,0,1,1.043233
numbers,right,number,E,1,0,1,0.605972
numbers,left,number,C,5,0,1,0.752554
numbers,right,number,I,2,0,1,0.785638
numbers,left,number,G,3,0,1,0.928778
numbers,right,number,R,5,0,1,0.689807
numbers,left,number,A,8,0,1,0.640824
numbers,right,number,G,1,0,1,0.627614
numbers,left,number,T,4,0,1,0.678613
numbers,right,number,U,4,0,1,0.739467
numbers,left,number,U,4,0,1,0.507508
numbers,right,number,U,1,0,1,0.609877
numbers,left,number,E,6,0,1,0.698545
numbers,right,number,A,5,0,1,0.720659
numbers,left,number,E,4,0,1,1.727114
numbers,right,number,C,8,0,1,0.695293
numbers,left,number,I,3,0,1,0.657189
numbers,right,number,U,7,0,1,1.600304
numbers,left,number,A,8,0,1,0.580907
numbers,right,number,E,2,0,1,0.936002
numbers,left,number,I,6,0,1,0.849094
numbers,right,number,C,2,0,1,0.569706
numbers,left,number,C,8,0,1,0.503471
numbers,right,number,U,7,0,1,0.545113
numbers,left,number,I,6,0,1,0.680242
numbers,right,number,G,7,0,1,1.595447
numbers,left,number,R,1,0,1,0.759980
numbers,right,number,E,3,0,1,0.655213
numbers,left,number,A,7,0,1,0.701980
numbers,right,number,T,3,0,1,0.915723
numbers,left,number,I,4,0,1,0.650975
numbers,right,number,G,5,0,1,0.593282
numbers,left,number,G,2,0,1,0.564422
numbers,right,number,R,8,0,1,0.488651
numbers,left,number,R,7,0,1,0.538055
lettersnumbers,left,letter,R,7,1,1,5.374089
lettersnumbers,right,letter,T,1,0,1,2.029493
lettersnumbers,right,number,T,3,1,1,4.975063
lettersnumbers,left,number,G,2,0,1,0.868192
lettersnumbers,left,letter,C,2,1,1,3.238859
lettersnumbers,right,letter,I,4,0,1,1.516256
lettersnumbers,right,number,U,5,1,1,2.725844
lettersnumbers,left,number,A,1,0,0,2.505506
lettersnumbers,left,letter,T,6,1,1,0.000093
lettersnumbers,right,letter,C,5,0,0,7.653004
lettersnumbers,right,number,R,8,1,0,0.000109
lettersnumbers,left,number,A,3,0,0,1.138723
lettersnumbers,left,letter,G,6,1,0,1.548249
lettersnumbers,right,letter,T,6,0,1,1.518148
lettersnumbers,right,number,R,4,1,1,1.412489
lettersnumbers,left,number,U,4,0,1,1.595149
lettersnumbers,left,letter,U,1,1,0,1.784493
lettersnumbers,right,letter,U,4,0,1,0.746606
lettersnumbers,right,number,T,7,1,0,2.488104
lettersnumbers,left,number,A,2,0,1,1.465452
lettersnumbers,left,letter,I,5,1,0,1.730312
lettersnumbers,right,letter,R,2,0,1,2.212299
lettersnumbers,right,number,I,7,1,1,2.870240
lettersnumbers,left,number,G,3,0,1,1.297938
lettersnumbers,left,letter,U,7,1,0,2.604345
lettersnumbers,right,letter,E,3,0,1,1.398153
lettersnumbers,right,number,E,8,1,1,1.688025
lettersnumbers,left,number,G,5,0,1,1.622464
lettersnumbers,left,letter,I,4,1,1,1.791322
lettersnumbers,right,letter,E,8,0,1,1.169431
lettersnumbers,right,number,C,6,1,1,2.310892
lettersnumbers,left,number,I,3,0,1,1.295710
lettersnumbers,left,letter,A,8,1,1,0.710447
lettersnumbers,right,letter,C,5,0,1,1.114342
lettersnumbers,right,number,C,7,1,0,0.536452
lettersnumbers,left,number,R,1,0,1,1.687865
lettersnumbers,left,letter,A,8,1,1,2.250261
lettersnumbers,right,letter,G,1,0,1,1.883725
lettersnumbers,right,number,E,6,1,1,1.468062
lettersnumbers,left,number,E,2,0,1,1.030395
