BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,2.852978
letters,left,letter,E,4,0,1,1.026449
letters,right,letter,T,6,0,1,0.816620
letters,left,letter,G,3,0,1,0.725360
letters,right,letter,R,1,0,1,0.653217
letters,left,letter,T,2,0,1,0.575372
letters,right,letter,E,1,0,1,0.510320
letters,left,letter,R,1,0,1,0.545980
letters,right,letter,U,4,0,1,0.550606
letters,left,letter,E,8,0,1,0.500864
letters,right,letter,U,5,0,1,0.532344
letters,left,letter,E,2,0,1,0.489476
letters,right,letter,C,5,0,1,0.570782
letters,left,letter,E,7,0,1,0.590312
letters,right,letter,U,3,0,1,1.275499
letters,left,letter,R,5,0,1,0.603733
letters,right,letter,A,7,0,1,0.615338
letters,left,letter,G,2,0,1,0.620577
letters,right,letter,C,8,0,1,0.800367
letters,left,letter,T,6,0,1,0.631164
letters,right,letter,R,4,0,1,0.680078
letters,left,letter,G,6,0,1,0.589137
letters,right,letter,C,3,0,1,0.808277
letters,left,letter,R,2,0,1,0.451263
letters,right,letter,I,2,0,1,0.657869
letters,left,letter,I,7,0,1,0.548606
letters,right,letter,C,3,0,1,0.570219
letters,left,letter,G,6,0,1,0.515333
letters,right,letter,T,8,0,1,0.538499
letters,left,letter,T,5,0,1,0.487164
letters,right,letter,I,1,0,1,0.689096
letters,left,letter,A,4,0,1,0.596461
letters,right,letter,G,8,0,1,0.838940
letters,left,letter,I,6,0,1,0.599953
letters,right,letter,A,3,0,1,0.813900
letters,left,letter,A,4,0,1,0.487827
letters,right,letter,C,8,0,1,0.629927
letters,left,letter,U,7,0,1,0.709212
letters,right,letter,A,5,0,1,0.683426
letters,left,letter,I,7,0,1,0.614119
numbers,right,number,C,6,1,1,1.554124
numbers,left,number,R,3,0,1,0.647134
numbers,right,number,T,1,0,1,0.845797
numbers,left,number,T,2,0,1,0.667619
numbers,right,number,T,5,0,1,0.807572
numbers,left,number,A,6,0,1,0.631997
numbers,right,number,E,1,0,1,0.680542
numbers,left,number,C,5,0,1,0.904628
numbers,right,number,I,2,0,1,0.687934
numbers,left,number,G,3,0,1,0.739660
numbers,right,number,R,5,0,1,1.063143
numbers,left,number,A,8,0,1,0.626885
numbers,right,number,G,1,0,1,0.648931
numbers,left,number,T,4,0,1,0.762030
numbers,right,number,U,4,0,1,1.012746
numbers,left,number,U,4,0,1,0.630835
numbers,right,number,U,1,0,1,0.678744
numbers,left,number,E,6,0,1,0.658331
numbers,right,number,A,5,0,1,0.656328
numbers,left,number,E,4,0,1,0.688150
numbers,right,number,C,8,0,1,1.406192
numbers,left,number,I,3,0,1,0.627187
numbers,right,number,U,7,0,1,0.635906
numbers,left,number,A,8,0,1,0.709861
numbers,right,number,E,2,0,1,0.868614
numbers,left,number,I,6,0,1,0.593994
numbers,right,number,C,2,0,1,0.523788
numbers,left,number,C,8,0,1,0.566723
numbers,right,number,U,7,0,1,0.512802
numbers,left,number,I,6,0,1,0.656890
numbers,right,number,G,7,0,1,0.524910
numbers,left,number,R,1,0,1,1.088397
numbers,right,number,E,3,0,0,0.628314
numbers,left,number,A,7,0,1,0.000119
numbers,right,number,T,3,0,1,1.171648
numbers,left,number,I,4,0,1,0.796177
numbers,right,number,G,5,0,1,0.577298
numbers,left,number,G,2,0,1,0.720394
numbers,right,number,R,8,0,1,0.867755
numbers,left,number,R,7,0,1,0.724679
lettersnumbers,left,letter,R,7,1,1,2.521839
lettersnumbers,right,letter,T,1,0,1,0.741564
lettersnumbers,right,number,T,3,1,1,1.141372
lettersnumbers,left,number,G,2,0,1,0.784382
lettersnumbers,left,letter,C,2,1,1,1.537252
lettersnumbers,right,letter,I,4,0,1,0.968613
lettersnumbers,right,number,U,5,1,1,0.970396
lettersnumbers,left,number,A,1,0,1,1.713123
lettersnumbers,left,letter,T,6,1,1,1.284651
lettersnumbers,right,letter,C,5,0,1,0.858524
lettersnumbers,right,number,R,8,1,1,1.298923
lettersnumbers,left,number,A,3,0,1,1.558407
lettersnumbers,left,letter,G,6,1,1,1.588961
lettersnumbers,right,letter,T,6,0,1,0.546790
lettersnumbers,right,number,R,4,1,1,1.108009
lettersnumbers,left,number,U,4,0,1,0.556156
lettersnumbers,left,letter,U,1,1,1,1.351235
lettersnumbers,right,letter,U,4,0,1,0.665374
lettersnumbers,right,number,T,7,1,1,1.016699
lettersnumbers,left,number,A,2,0,1,0.827205
lettersnumbers,left,letter,I,5,1,1,1.684036
lettersnumbers,right,letter,R,2,0,1,0.653267
lettersnumbers,right,number,I,7,1,1,1.207048
lettersnumbers,left,number,G,3,0,1,0.748954
lettersnumbers,left,letter,U,7,1,1,1.546056
lettersnumbers,right,letter,E,3,0,1,0.934292
lettersnumbers,right,number,E,8,1,1,1.455888
lettersnumbers,left,number,G,5,0,1,0.601907
lettersnumbers,left,letter,I,4,1,1,0.927208
lettersnumbers,right,letter,E,8,0,1,0.545514
lettersnumbers,right,number,C,6,1,1,1.457229
lettersnumbers,left,number,I,3,0,1,0.674626
lettersnumbers,left,letter,A,8,1,1,0.834289
lettersnumbers,right,letter,C,5,0,1,0.746829
lettersnumbers,right,number,C,7,1,1,0.800623
lettersnumbers,left,number,R,1,0,1,0.653474
lettersnumbers,left,letter,A,8,1,1,1.174594
lettersnumbers,right,letter,G,1,0,1,1.111506
lettersnumbers,right,number,E,6,1,1,0.698240
lettersnumbers,left,number,E,2,0,1,0.944589
