GroupNum;GroupType;TypeTest;PartID;Partner;Round;Shape;KeyPressed;PositionItem;ChosenItem;ACC;Word;ID_CG;index;pair;distance
4;HM;block1_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;1;NA;NA
4;HM;block1_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;2;NA;NA
4;HM;block1_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;3;NA;NA
4;HM;block1_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;4;NA;NA
4;HM;block1_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;5;NA;NA
4;HM;block1_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;6;NA;NA
4;HM;block1_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;7;NA;NA
4;HM;block1_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;8;NA;NA
4;HM;block2_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;9;NA;NA
4;HM;block2_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;10;NA;NA
4;HM;block2_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;11;NA;NA
4;HM;block2_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;12;NA;NA
4;HM;block2_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;13;NA;NA
4;HM;block2_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;14;NA;NA
4;HM;block2_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;15;NA;NA
4;HM;block2_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;16;NA;NA
4;HM;testing_set;1;NA;0;5;NA;NA;NA;1;nekuki;0;17;NA;NA
4;HM;testing_set;1;NA;0;6;NA;NA;NA;1;anap;0;18;NA;NA
4;HM;testing_set;1;NA;0;1;NA;NA;NA;1;nus;0;19;NA;NA
4;HM;testing_set;1;NA;0;0;NA;NA;NA;1;nusa;0;20;NA;NA
4;HM;testing_set;1;NA;0;7;NA;NA;NA;1;aike;0;21;NA;NA
4;HM;testing_set;1;NA;0;4;NA;NA;NA;0;esip;0;22;NA;NA
