GroupNum;GroupType;TypeTest;PartID;Partner;Round;Shape;KeyPressed;PositionItem;ChosenItem;ACC;Word;ID_CG;index;pair;distance
5;HT;block1_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;1;NA;NA
5;HT;block1_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;2;NA;NA
5;HT;block1_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;3;NA;NA
5;HT;block1_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;4;NA;NA
5;HT;block1_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;5;NA;NA
5;HT;block1_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;6;NA;NA
5;HT;block1_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;7;NA;NA
5;HT;block1_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;8;NA;NA
5;HT;block2_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;9;NA;NA
5;HT;block2_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;10;NA;NA
5;HT;block2_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;11;NA;NA
5;HT;block2_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;12;NA;NA
5;HT;block2_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;13;NA;NA
5;HT;block2_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;14;NA;NA
5;HT;block2_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;15;NA;NA
5;HT;block2_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;16;NA;NA
5;HT;testing_set;1;NA;0;1;NA;NA;NA;1;nus;0;17;NA;0
5;HT;testing_set;1;NA;0;5;NA;NA;NA;0;;0;18;NA;NA
5;HT;testing_set;1;NA;0;3;NA;NA;NA;1;esip;0;19;NA;0
5;HT;testing_set;1;NA;0;4;NA;NA;NA;1;pu;0;20;NA;0
5;HT;testing_set;1;NA;0;0;NA;NA;NA;1;nus;0;21;NA;0
5;HT;testing_set;1;NA;0;7;NA;NA;NA;1;ie;0;22;NA;0
5;HT;testing_set;1;NA;0;6;NA;NA;NA;1;np;0;23;NA;0
5;HT;testing_set;1;NA;0;2;NA;NA;NA;0;eip;0;24;NA;0.25
5;HT;final_testing;1;NA;0;3;NA;NA;NA;NA;esip;0;169;NA;0
5;HT;final_testing;1;NA;0;0;NA;NA;NA;NA;nus;0;170;NA;0
5;HT;final_testing;1;NA;0;2;NA;NA;NA;NA;esipp;0;171;NA;0.2
5;HT;final_testing;1;NA;0;1;NA;NA;NA;NA;nupi;0;172;NA;0.5
5;HT;final_testing;1;NA;0;4;NA;NA;NA;NA;inis;0;173;NA;1
5;HT;final_testing;1;NA;0;5;NA;NA;NA;NA;nusinu;0;174;NA;0.5
5;HT;final_testing;1;NA;0;7;NA;NA;NA;NA;ie;0;175;NA;0
5;HT;final_testing;1;NA;0;6;NA;NA;NA;NA;np;0;176;NA;0
5;HT;block1_passive_exp;2;NA;0;2;NA;NA;NA;NA;kesip;0;1;NA;NA
5;HT;block1_passive_exp;2;NA;0;1;NA;NA;NA;NA;nus;0;2;NA;NA
