BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,1.738932
letters,left,letter,E,4,0,1,1.450389
letters,right,letter,T,6,0,1,1.139669
letters,left,letter,G,3,0,1,0.787437
letters,right,letter,R,1,0,1,1.084932
letters,left,letter,T,2,0,1,0.728501
letters,right,letter,E,1,0,1,0.900655
letters,left,letter,R,1,0,1,0.584857
letters,right,letter,U,4,0,1,0.536524
letters,left,letter,E,8,0,1,0.673657
letters,right,letter,U,5,0,1,0.545639
letters,left,letter,E,2,0,1,0.570089
letters,right,letter,C,5,0,1,0.747357
letters,left,letter,E,7,0,1,0.687666
letters,right,letter,U,3,0,1,0.609303
letters,left,letter,R,5,0,1,0.666636
letters,right,letter,A,7,0,1,0.625756
letters,left,letter,G,2,0,1,0.757535
letters,right,letter,C,8,0,1,0.616487
letters,left,letter,T,6,0,1,0.575477
letters,right,letter,R,4,0,1,0.647814
letters,left,letter,G,6,0,1,0.601445
letters,right,letter,C,3,0,1,0.526293
letters,left,letter,R,2,0,1,0.487727
letters,right,letter,I,2,0,1,0.756356
letters,left,letter,I,7,0,1,0.471750
letters,right,letter,C,3,0,1,0.608128
letters,left,letter,G,6,0,1,0.436675
letters,right,letter,T,8,0,1,0.607366
letters,left,letter,T,5,0,1,0.431987
letters,right,letter,I,1,0,1,0.615574
letters,left,letter,A,4,0,1,0.554116
letters,right,letter,G,8,0,1,0.708589
letters,left,letter,I,6,0,1,0.496743
letters,right,letter,A,3,0,0,0.551539
letters,left,letter,A,4,0,1,0.000106
letters,right,letter,C,8,0,1,0.885080
letters,left,letter,U,7,0,1,0.620973
letters,right,letter,A,5,0,1,0.679458
letters,left,letter,I,7,0,1,0.620349
numbers,right,number,C,6,1,1,1.375582
numbers,left,number,R,3,0,1,0.919183
numbers,right,number,T,1,0,1,0.699188
numbers,left,number,T,2,0,1,0.714371
numbers,right,number,T,5,0,1,1.418205
numbers,left,number,A,6,0,1,0.997173
numbers,right,number,E,1,0,1,0.671470
numbers,left,number,C,5,0,1,0.743921
numbers,right,number,I,2,0,1,0.627068
numbers,left,number,G,3,0,1,0.700175
numbers,right,number,R,5,0,1,0.674968
numbers,left,number,A,8,0,1,0.837709
numbers,right,number,G,1,0,1,0.780362
numbers,left,number,T,4,0,1,1.081823
numbers,right,number,U,4,0,1,0.546597
numbers,left,number,U,4,0,1,0.550653
numbers,right,number,U,1,0,1,0.615361
numbers,left,number,E,6,0,1,0.623519
numbers,right,number,A,5,0,1,0.787264
numbers,left,number,E,4,0,1,0.649533
numbers,right,number,C,8,0,1,0.606330
numbers,left,number,I,3,0,1,0.671960
numbers,right,number,U,7,0,1,0.821090
numbers,left,number,A,8,0,1,0.689568
numbers,right,number,E,2,0,1,0.630510
numbers,left,number,I,6,0,1,0.590399
numbers,right,number,C,2,0,1,0.507758
numbers,left,number,C,8,0,1,0.481692
numbers,right,number,U,7,0,1,0.693683
numbers,left,number,I,6,0,1,0.698091
numbers,right,number,G,7,0,1,0.546363
numbers,left,number,R,1,0,1,0.759273
numbers,right,number,E,3,0,1,0.739928
numbers,left,number,A,7,0,1,0.520390
numbers,right,number,T,3,0,1,0.509108
numbers,left,number,I,4,0,1,0.536772
numbers,right,number,G,5,0,1,0.677327
numbers,left,number,G,2,0,1,0.622260
numbers,right,number,R,8,0,1,0.790294
numbers,left,number,R,7,0,1,0.813071
lettersnumbers,left,letter,R,7,1,1,2.026366
lettersnumbers,right,letter,T,1,0,1,1.000649
lettersnumbers,right,number,T,3,1,1,2.789099
lettersnumbers,left,number,G,2,0,1,0.774092
lettersnumbers,left,letter,C,2,1,1,1.501791
lettersnumbers,right,letter,I,4,0,1,3.036637
lettersnumbers,right,number,U,5,1,1,1.967656
lettersnumbers,left,number,A,1,0,1,1.057172
lettersnumbers,left,letter,T,6,1,1,1.447520
lettersnumbers,right,letter,C,5,0,1,1.606025
lettersnumbers,right,number,R,8,1,1,1.161768
lettersnumbers,left,number,A,3,0,1,1.233321
lettersnumbers,left,letter,G,6,1,1,2.459089
lettersnumbers,right,letter,T,6,0,1,0.728637
lettersnumbers,right,number,R,4,1,1,1.320394
lettersnumbers,left,number,U,4,0,1,1.052723
lettersnumbers,left,letter,U,1,1,1,1.793723
lettersnumbers,right,letter,U,4,0,1,0.760093
lettersnumbers,right,number,T,7,1,1,1.316754
lettersnumbers,left,number,A,2,0,1,0.799098
lettersnumbers,left,letter,I,5,1,1,3.180119
lettersnumbers,right,letter,R,2,0,1,0.993148
lettersnumbers,right,number,I,7,1,1,1.232478
lettersnumbers,left,number,G,3,0,1,0.693544
lettersnumbers,left,letter,U,7,1,1,1.377041
lettersnumbers,right,letter,E,3,0,1,0.830043
lettersnumbers,right,number,E,8,1,1,1.044242
lettersnumbers,left,number,G,5,0,1,0.811565
lettersnumbers,left,letter,I,4,1,1,2.953098
lettersnumbers,right,letter,E,8,0,1,0.706661
lettersnumbers,right,number,C,6,1,1,1.476363
lettersnumbers,left,number,I,3,0,1,0.789777
lettersnumbers,left,letter,A,8,1,1,3.543516
lettersnumbers,right,letter,C,5,0,1,0.980605
lettersnumbers,right,number,C,7,1,1,0.913168
lettersnumbers,left,number,R,1,0,1,0.720871
lettersnumbers,left,letter,A,8,1,1,1.803634
lettersnumbers,right,letter,G,1,0,1,1.343647
lettersnumbers,right,number,E,6,1,1,0.737910
lettersnumbers,left,number,E,2,0,1,0.702226
