BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,1.928678
letters,left,letter,E,4,0,1,0.613114
letters,right,letter,T,6,0,1,0.813663
letters,left,letter,G,3,0,1,0.569057
letters,right,letter,R,1,0,1,0.555702
letters,left,letter,T,2,0,1,0.490079
letters,right,letter,E,1,0,1,0.597889
letters,left,letter,R,1,0,1,0.457884
letters,right,letter,U,4,0,1,0.744394
letters,left,letter,E,8,0,0,0.454878
letters,right,letter,U,5,0,1,0.000109
letters,left,letter,E,2,0,1,1.039867
letters,right,letter,C,5,0,1,0.798173
letters,left,letter,E,7,0,1,0.776668
letters,right,letter,U,3,0,1,0.826911
letters,left,letter,R,5,0,1,0.475107
letters,right,letter,A,7,0,1,0.522539
letters,left,letter,G,2,0,1,0.467918
letters,right,letter,C,8,0,1,0.644370
letters,left,letter,T,6,0,1,0.545694
letters,right,letter,R,4,0,1,0.467949
letters,left,letter,G,6,0,1,0.480799
letters,right,letter,C,3,0,0,0.488292
letters,left,letter,R,2,0,1,0.000104
letters,right,letter,I,2,0,1,1.119408
letters,left,letter,I,7,0,1,0.546356
letters,right,letter,C,3,0,1,0.568360
letters,left,letter,G,6,0,1,0.500462
letters,right,letter,T,8,0,1,0.562865
letters,left,letter,T,5,0,1,0.486913
letters,right,letter,I,1,0,1,0.577723
letters,left,letter,A,4,0,1,0.716795
letters,right,letter,G,8,0,1,0.510138
letters,left,letter,I,6,0,1,0.474565
letters,right,letter,A,3,0,1,0.714310
letters,left,letter,A,4,0,1,0.521204
letters,right,letter,C,8,0,1,0.648363
letters,left,letter,U,7,0,1,0.653915
letters,right,letter,A,5,0,1,0.659617
letters,left,letter,I,7,0,1,0.654599
numbers,right,number,C,6,1,1,1.189695
numbers,left,number,R,3,0,1,0.477946
numbers,right,number,T,1,0,1,0.659525
numbers,left,number,T,2,0,1,0.595031
numbers,right,number,T,5,0,1,0.668007
numbers,left,number,A,6,0,1,0.571946
numbers,right,number,E,1,0,1,0.486672
numbers,left,number,C,5,0,1,0.760455
numbers,right,number,I,2,0,1,0.502993
numbers,left,number,G,3,0,1,0.524876
numbers,right,number,R,5,0,1,0.733722
numbers,left,number,A,8,0,1,0.554497
numbers,right,number,G,1,0,1,0.422921
numbers,left,number,T,4,0,1,0.540397
numbers,right,number,U,4,0,1,0.477510
numbers,left,number,U,4,0,1,0.461586
numbers,right,number,U,1,0,1,0.475751
numbers,left,number,E,6,0,1,0.597157
numbers,right,number,A,5,0,1,0.741285
numbers,left,number,E,4,0,1,0.724284
numbers,right,number,C,8,0,1,0.593538
numbers,left,number,I,3,0,1,0.554491
numbers,right,number,U,7,0,1,0.686637
numbers,left,number,A,8,0,1,0.517376
numbers,right,number,E,2,0,1,0.713286
numbers,left,number,I,6,0,1,0.558100
numbers,right,number,C,2,0,0,0.551359
numbers,left,number,C,8,0,1,0.000103
numbers,right,number,U,7,0,1,0.699709
numbers,left,number,I,6,0,1,0.666345
numbers,right,number,G,7,0,1,0.601703
numbers,left,number,R,1,0,1,0.572657
numbers,right,number,E,3,0,1,0.589835
numbers,left,number,A,7,0,1,0.487236
numbers,right,number,T,3,0,1,0.607262
numbers,left,number,I,4,0,1,0.548017
numbers,right,number,G,5,0,1,0.508333
numbers,left,number,G,2,0,1,0.620087
numbers,right,number,R,8,0,1,0.504077
numbers,left,number,R,7,0,1,0.526645
lettersnumbers,left,letter,R,7,1,1,1.664279
lettersnumbers,right,letter,T,1,0,1,1.623145
lettersnumbers,right,number,T,3,1,1,2.626420
lettersnumbers,left,number,G,2,0,1,1.064077
lettersnumbers,left,letter,C,2,1,1,2.079914
lettersnumbers,right,letter,I,4,0,1,1.330909
lettersnumbers,right,number,U,5,1,1,2.016369
lettersnumbers,left,number,A,1,0,1,0.772989
lettersnumbers,left,letter,T,6,1,1,1.997764
lettersnumbers,right,letter,C,5,0,1,0.794140
lettersnumbers,right,number,R,8,1,1,1.311246
lettersnumbers,left,number,A,3,0,1,0.709848
lettersnumbers,left,letter,G,6,1,1,1.608992
lettersnumbers,right,letter,T,6,0,1,0.674169
lettersnumbers,right,number,R,4,1,1,1.867699
lettersnumbers,left,number,U,4,0,0,1.113301
lettersnumbers,left,letter,U,1,1,1,2.600958
lettersnumbers,right,letter,U,4,0,1,0.552740
lettersnumbers,right,number,T,7,1,1,1.082280
lettersnumbers,left,number,A,2,0,1,0.630250
lettersnumbers,left,letter,I,5,1,1,1.299541
lettersnumbers,right,letter,R,2,0,1,0.651828
lettersnumbers,right,number,I,7,1,1,1.779302
lettersnumbers,left,number,G,3,0,1,0.689024
lettersnumbers,left,letter,U,7,1,1,1.043295
lettersnumbers,right,letter,E,3,0,0,0.830404
lettersnumbers,right,number,E,8,1,1,1.108066
lettersnumbers,left,number,G,5,0,1,0.553187
lettersnumbers,left,letter,I,4,1,1,1.527889
lettersnumbers,right,letter,E,8,0,1,0.860820
lettersnumbers,right,number,C,6,1,1,1.034398
lettersnumbers,left,number,I,3,0,1,0.652406
lettersnumbers,left,letter,A,8,1,1,1.669164
lettersnumbers,right,letter,C,5,0,1,0.703295
lettersnumbers,right,number,C,7,1,1,0.831952
lettersnumbers,left,number,R,1,0,1,0.680108
lettersnumbers,left,letter,A,8,1,1,1.451192
lettersnumbers,right,letter,G,1,0,1,0.748225
lettersnumbers,right,number,E,6,1,1,0.996664
lettersnumbers,left,number,E,2,0,1,0.538396
