"PartID","GroupNum","prosoc","Game","Age","Gender","invefi","difference","diff_norm"
1,3,2.875,1,19,"F",1.7927948191979,0.730428123684211,0.344127077475402
2,3,4.0625,2,20,"F",1.77157420118343,0.446095555263158,0.229400632430655
3,3,3.9375,3,22,"M",1.82663765,0.624006,0.291776928489599
4,3,4.0625,3,18,"F",1.13833627876397,0.828957052631579,0.540042778431746
