"PartID","GroupNum","prosoc","Game","Age","Gender","invefi","difference","diff_norm"
1,4,3,3,20,"M",1.28378401753104,0.343940717647059,0.250427539099642
2,4,4.125,1,26,"F",1.66136958448753,0.508443811111111,0.275444473792052
3,4,3,3,37,"M",1.9054118869165,0.507321215789474,0.23953506738234
4,4,4.375,1,24,"M",1.07166719135802,0.432922956656347,0.362889740786608
