BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,0,0.000130
letters,left,letter,E,4,0,1,0.000115
letters,right,letter,T,6,0,1,2.311064
letters,left,letter,G,3,0,1,1.639138
letters,right,letter,R,1,0,1,1.182992
letters,left,letter,T,2,0,1,0.584589
letters,right,letter,E,1,0,1,0.906907
letters,left,letter,R,1,0,1,0.602476
letters,right,letter,U,4,0,1,0.658055
letters,left,letter,E,8,0,1,0.966283
letters,right,letter,U,5,0,1,0.704186
letters,left,letter,E,2,0,1,0.731032
letters,right,letter,C,5,0,1,0.652632
letters,left,letter,E,7,0,1,0.682658
letters,right,letter,U,3,0,0,2.064503
letters,left,letter,R,5,0,0,0.000117
letters,right,letter,A,7,0,1,2.102125
letters,left,letter,G,2,0,1,0.660410
letters,right,letter,C,8,0,1,0.797746
letters,left,letter,T,6,0,1,0.664230
letters,right,letter,R,4,0,1,0.590969
letters,left,letter,G,6,0,1,0.414250
letters,right,letter,C,3,0,1,0.473687
letters,left,letter,R,2,0,1,0.702830
letters,right,letter,I,2,0,1,0.978032
letters,left,letter,I,7,0,1,0.608357
letters,right,letter,C,3,0,1,0.727886
letters,left,letter,G,6,0,1,0.370734
letters,right,letter,T,8,0,1,0.469245
letters,left,letter,T,5,0,1,0.587010
letters,right,letter,I,1,0,1,0.667265
letters,left,letter,A,4,0,1,0.747442
letters,right,letter,G,8,0,1,0.721893
letters,left,letter,I,6,0,1,1.287971
letters,right,letter,A,3,0,1,0.650207
letters,left,letter,A,4,0,1,0.535371
letters,right,letter,C,8,0,1,0.838084
letters,left,letter,U,7,0,1,0.719366
letters,right,letter,A,5,0,1,1.221351
letters,left,letter,I,7,0,1,1.050115
numbers,right,number,C,6,1,1,2.364417
numbers,left,number,R,3,0,1,0.813888
numbers,right,number,T,1,0,1,0.702165
numbers,left,number,T,2,0,1,0.847324
numbers,right,number,T,5,0,1,0.763391
numbers,left,number,A,6,0,1,0.701033
numbers,right,number,E,1,0,1,0.887712
numbers,left,number,C,5,0,1,0.902405
numbers,right,number,I,2,0,1,1.784935
numbers,left,number,G,3,0,1,0.698805
numbers,right,number,R,5,0,1,0.812940
numbers,left,number,A,8,0,1,0.672710
numbers,right,number,G,1,0,1,0.640577
numbers,left,number,T,4,0,1,0.878481
numbers,right,number,U,4,0,1,0.792093
numbers,left,number,U,4,0,1,0.893074
numbers,right,number,U,1,0,1,0.580239
numbers,left,number,E,6,0,1,0.741141
numbers,right,number,A,5,0,1,0.787150
numbers,left,number,E,4,0,1,0.637451
numbers,right,number,C,8,0,1,0.608726
numbers,left,number,I,3,0,1,0.789285
numbers,right,number,U,7,0,1,0.911794
numbers,left,number,A,8,0,1,0.900025
numbers,right,number,E,2,0,1,0.705597
numbers,left,number,I,6,0,1,1.140660
numbers,right,number,C,2,0,1,0.706975
numbers,left,number,C,8,0,1,0.541867
numbers,right,number,U,7,0,1,0.898667
numbers,left,number,I,6,0,1,1.005246
numbers,right,number,G,7,0,0,0.508967
numbers,left,number,R,1,0,1,0.000101
numbers,right,number,E,3,0,1,2.649244
numbers,left,number,A,7,0,1,0.858071
numbers,right,number,T,3,0,1,0.506339
numbers,left,number,I,4,0,1,0.882685
numbers,right,number,G,5,0,1,0.745573
numbers,left,number,G,2,0,1,0.779423
numbers,right,number,R,8,0,1,0.813367
numbers,left,number,R,7,0,1,0.551415
lettersnumbers,left,letter,R,7,1,1,3.060743
lettersnumbers,right,letter,T,1,0,1,1.443540
lettersnumbers,right,number,T,3,1,1,2.193816
lettersnumbers,left,number,G,2,0,1,1.716398
lettersnumbers,left,letter,C,2,1,1,2.836094
lettersnumbers,right,letter,I,4,0,1,3.431601
lettersnumbers,right,number,U,5,1,0,1.935295
lettersnumbers,left,number,A,1,0,1,0.000120
lettersnumbers,left,letter,T,6,1,1,2.511725
lettersnumbers,right,letter,C,5,0,1,1.825142
lettersnumbers,right,number,R,8,1,1,1.795319
lettersnumbers,left,number,A,3,0,1,2.016168
lettersnumbers,left,letter,G,6,1,1,1.613461
lettersnumbers,right,letter,T,6,0,1,1.212865
lettersnumbers,right,number,R,4,1,1,1.527234
lettersnumbers,left,number,U,4,0,1,1.358520
lettersnumbers,left,letter,U,1,1,1,1.527227
lettersnumbers,right,letter,U,4,0,1,1.009034
lettersnumbers,right,number,T,7,1,0,3.020298
lettersnumbers,left,number,A,2,0,0,0.000117
lettersnumbers,left,letter,I,5,1,0,4.256694
lettersnumbers,right,letter,R,2,0,0,1.833476
lettersnumbers,right,number,I,7,1,1,1.889796
lettersnumbers,left,number,G,3,0,1,1.176170
lettersnumbers,left,letter,U,7,1,1,1.845401
lettersnumbers,right,letter,E,3,0,1,1.090838
lettersnumbers,right,number,E,8,1,0,1.727920
lettersnumbers,left,number,G,5,0,1,5.728608
lettersnumbers,left,letter,I,4,1,1,1.600640
lettersnumbers,right,letter,E,8,0,1,1.067060
lettersnumbers,right,number,C,6,1,1,2.113704
lettersnumbers,left,number,I,3,0,1,1.114390
lettersnumbers,left,letter,A,8,1,1,1.391120
lettersnumbers,right,letter,C,5,0,1,1.944079
lettersnumbers,right,number,C,7,1,1,1.776556
lettersnumbers,left,number,R,1,0,1,1.019703
lettersnumbers,left,letter,A,8,1,1,1.835249
lettersnumbers,right,letter,G,1,0,1,0.860139
lettersnumbers,right,number,E,6,1,1,2.158903
lettersnumbers,left,number,E,2,0,1,0.715808
