GroupNum;GroupType;TypeTest;PartID;Partner;Round;Shape;KeyPressed;PositionItem;ChosenItem;ACC;Word;ID_CG;index;pair
1;HT;block1_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;1;NA
1;HT;block1_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;2;NA
1;HT;block1_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;3;NA
1;HT;block1_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;4;NA
1;HT;block1_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;5;NA
1;HT;block1_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;6;NA
1;HT;block1_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;7;NA
1;HT;block1_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;8;NA
1;HT;block2_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;9;NA
1;HT;block2_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;10;NA
1;HT;block2_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;11;NA
1;HT;block2_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;12;NA
1;HT;block2_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;13;NA
1;HT;block2_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;14;NA
1;HT;block2_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;15;NA
1;HT;block2_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;16;NA
1;HT;testing_set;1;NA;0;2;NA;NA;NA;0;nesi;0;17;NA
1;HT;testing_set;1;NA;0;7;NA;NA;NA;0;uine;0;18;NA
1;HT;testing_set;1;NA;0;5;NA;NA;NA;0;nesipi;0;19;NA
1;HT;testing_set;1;NA;0;3;NA;NA;NA;1;esip;0;20;NA
1;HT;testing_set;1;NA;0;6;NA;NA;NA;0;unip;0;21;NA
1;HT;testing_set;1;NA;0;1;NA;NA;NA;1;nus;0;22;NA
1;HT;testing_set;1;NA;0;0;NA;NA;NA;0;nuse;0;23;NA
1;HT;testing_set;1;NA;0;4;NA;NA;NA;0;inus;0;24;NA
1;HT;final_testing;1;NA;0;5;NA;NA;NA;NA;nepipi;0;169;NA
1;HT;final_testing;1;NA;0;6;NA;NA;NA;NA;enup;0;170;NA
1;HT;final_testing;1;NA;0;3;NA;NA;NA;NA;esip;0;171;NA
1;HT;final_testing;1;NA;0;0;NA;NA;NA;NA;nuse;0;172;NA
1;HT;final_testing;1;NA;0;1;NA;NA;NA;NA;nus;0;173;NA
1;HT;final_testing;1;NA;0;2;NA;NA;NA;NA;nenuse;0;174;NA
1;HT;final_testing;1;NA;0;7;NA;NA;NA;NA;pine;0;175;NA
1;HT;final_testing;1;NA;0;4;NA;NA;NA;NA;puni;0;176;NA
1;HT;block1_passive_exp;2;NA;0;5;NA;NA;NA;NA;nekuki;0;1;NA
