BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,2.520677
letters,left,letter,E,4,0,1,0.954124
letters,right,letter,T,6,0,1,0.667941
letters,left,letter,G,3,0,1,0.680510
letters,right,letter,R,1,0,1,0.658262
letters,left,letter,T,2,0,1,0.632796
letters,right,letter,E,1,0,1,0.489588
letters,left,letter,R,1,0,1,0.535975
letters,right,letter,U,4,0,1,0.431906
letters,left,letter,E,8,0,1,0.674550
letters,right,letter,U,5,0,1,0.530974
letters,left,letter,E,2,0,1,0.436831
letters,right,letter,C,5,0,1,0.614661
letters,left,letter,E,7,0,1,0.488482
letters,right,letter,U,3,0,1,0.525908
letters,left,letter,R,5,0,1,0.531951
letters,right,letter,A,7,0,1,0.479128
letters,left,letter,G,2,0,1,0.556244
letters,right,letter,C,8,0,0,0.465528
letters,left,letter,T,6,0,1,0.948278
letters,right,letter,R,4,0,1,0.608467
letters,left,letter,G,6,0,1,0.441797
letters,right,letter,C,3,0,1,0.492678
letters,left,letter,R,2,0,1,0.370550
letters,right,letter,I,2,0,1,0.485200
letters,left,letter,I,7,0,1,0.462556
letters,right,letter,C,3,0,1,0.496718
letters,left,letter,G,6,0,1,0.638713
letters,right,letter,T,8,0,1,0.455074
letters,left,letter,T,5,0,1,0.516209
letters,right,letter,I,1,0,1,0.479481
letters,left,letter,A,4,0,1,0.701115
letters,right,letter,G,8,0,1,0.571771
letters,left,letter,I,6,0,1,0.557177
letters,right,letter,A,3,0,1,0.669271
letters,left,letter,A,4,0,1,0.442703
letters,right,letter,C,8,0,1,0.523367
letters,left,letter,U,7,0,1,0.590098
letters,right,letter,A,5,0,1,0.430975
letters,left,letter,I,7,0,1,0.418273
numbers,right,number,C,6,1,1,2.365490
numbers,left,number,R,3,0,1,0.955896
numbers,right,number,T,1,0,1,0.718739
numbers,left,number,T,2,0,1,0.637489
numbers,right,number,T,5,0,1,0.797620
numbers,left,number,A,6,0,1,0.741592
numbers,right,number,E,1,0,1,0.870731
numbers,left,number,C,5,0,1,1.184937
numbers,right,number,I,2,0,1,0.571926
numbers,left,number,G,3,0,1,0.699826
numbers,right,number,R,5,0,1,0.761143
numbers,left,number,A,8,0,1,0.750745
numbers,right,number,G,1,0,1,0.714434
numbers,left,number,T,4,0,1,0.680263
numbers,right,number,U,4,0,1,0.599251
numbers,left,number,U,4,0,1,0.450109
numbers,right,number,U,1,0,1,0.570789
numbers,left,number,E,6,0,1,0.574977
numbers,right,number,A,5,0,1,0.521540
numbers,left,number,E,4,0,1,0.474724
numbers,right,number,C,8,0,1,0.512195
numbers,left,number,I,3,0,1,0.599125
numbers,right,number,U,7,0,1,0.663111
numbers,left,number,A,8,0,1,0.738146
numbers,right,number,E,2,0,1,0.565568
numbers,left,number,I,6,0,1,0.539470
numbers,right,number,C,2,0,1,0.427401
numbers,left,number,C,8,0,1,0.552468
numbers,right,number,U,7,0,1,0.597262
numbers,left,number,I,6,0,1,0.537870
numbers,right,number,G,7,0,1,0.595392
numbers,left,number,R,1,0,1,0.748894
numbers,right,number,E,3,0,1,0.702484
numbers,left,number,A,7,0,1,0.563947
numbers,right,number,T,3,0,1,0.536227
numbers,left,number,I,4,0,1,0.634709
numbers,right,number,G,5,0,1,0.574336
numbers,left,number,G,2,0,1,0.608602
numbers,right,number,R,8,0,1,0.693116
numbers,left,number,R,7,0,1,0.627676
lettersnumbers,left,letter,R,7,1,1,2.155853
lettersnumbers,right,letter,T,1,0,1,1.647439
lettersnumbers,right,number,T,3,1,1,1.098666
lettersnumbers,left,number,G,2,0,1,0.679987
lettersnumbers,left,letter,C,2,1,1,1.289108
lettersnumbers,right,letter,I,4,0,1,0.913223
lettersnumbers,right,number,U,5,1,1,2.193036
lettersnumbers,left,number,A,1,0,1,1.730024
lettersnumbers,left,letter,T,6,1,1,1.808382
lettersnumbers,right,letter,C,5,0,1,0.776133
lettersnumbers,right,number,R,8,1,1,1.000105
lettersnumbers,left,number,A,3,0,1,1.246434
lettersnumbers,left,letter,G,6,1,1,1.243103
lettersnumbers,right,letter,T,6,0,1,0.593737
lettersnumbers,right,number,R,4,1,1,0.941671
lettersnumbers,left,number,U,4,0,1,0.612509
lettersnumbers,left,letter,U,1,1,0,0.812743
lettersnumbers,right,letter,U,4,0,1,1.725484
lettersnumbers,right,number,T,7,1,1,1.131650
lettersnumbers,left,number,A,2,0,1,0.933565
lettersnumbers,left,letter,I,5,1,1,1.438318
lettersnumbers,right,letter,R,2,0,1,0.716487
lettersnumbers,right,number,I,7,1,1,1.193069
lettersnumbers,left,number,G,3,0,1,0.748425
lettersnumbers,left,letter,U,7,1,1,1.277069
lettersnumbers,right,letter,E,3,0,1,1.214325
lettersnumbers,right,number,E,8,1,1,0.972289
lettersnumbers,left,number,G,5,0,1,0.668838
lettersnumbers,left,letter,I,4,1,1,1.518099
lettersnumbers,right,letter,E,8,0,1,1.038528
lettersnumbers,right,number,C,6,1,0,0.900324
lettersnumbers,left,number,I,3,0,1,1.333802
lettersnumbers,left,letter,A,8,1,0,1.740155
lettersnumbers,right,letter,C,5,0,1,1.669839
lettersnumbers,right,number,C,7,1,1,0.786128
lettersnumbers,left,number,R,1,0,1,0.948385
lettersnumbers,left,letter,A,8,1,1,2.070494
lettersnumbers,right,letter,G,1,0,1,0.799655
lettersnumbers,right,number,E,6,1,1,1.231000
lettersnumbers,left,number,E,2,0,1,0.592649
